Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido

Restrições da consulta:
Código da Estação:46415000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;Cota;Vazao;AreaMolhada;Largura;VelMedia;Profundidade;datains;dataalt;respalt;tecnico;medidorvazao
46415000;2;27/03/1988;01/01/1900 07:00:00;58;110;48,1;60,83;45,00;0,790;1,35;;;;;;
46415000;2;02/10/1992;01/01/1900 07:00:00;65;85;29,9;54,3;42,90;0,551;1,30;;;;;;
46415000;1;26/11/1998;01/01/1900 07:00:00;99;91;36,9;54,3;40,60;0,681;1,34;;;;;;
46415000;2;22/04/1987;01/01/1900 07:00:00;51;103;36,4;57,39;44,00;0,634;1,30;;;;;;
46415000;1;01/09/1998;01/01/1900 07:00:00;97;66;19;43,27;38,00;0,440;1,14;;;;;;
46415000;2;20/10/1987;01/01/1900 07:00:00;54;78;22,7;48,4;40,00;0,469;1,20;;;;;;
46415000;2;24/05/1992;01/01/1900 07:00:00;63;93;34;55,41;43,40;0,613;1,27;;;;;;
46415000;2;20/07/1987;01/01/1900 07:00:00;52;88;25;52,82;42,00;0,491;1,26;;;;;;
46415000;2;24/03/1993;01/01/1900 07:00:00;66;91;32,9;55,9;42,40;0,587;1,32;;;;;;
46415000;2;24/03/1993;01/01/1900 07:00:00;67;91;34;56,3;42,40;0,604;1,33;;;;;;
46415000;2;18/06/1993;01/01/1900 07:00:00;68;87;29,1;53,8;40,80;0,541;1,32;;;;;;
46415000;2;25/08/1993;01/01/1900 07:00:00;69;85;28;55;42,00;0,510;1,31;;;;;;
46415000;2;28/10/1993;01/01/1900 07:00:00;70;83;25,6;51,4;40,10;0,498;1,28;;;;;;
46415000;2;30/03/1994;01/01/1900 07:00:00;71;102;42,1;58,4;41,00;0,722;1,42;;;;;;
46415000;2;25/02/1999;01/01/1900 07:00:00;102;89;36,9;51,9;40,50;0,711;1,28;;;;;;
46415000;2;21/05/1999;01/01/1900 07:00:00;103;71;21,8;45,2;39,20;0,482;1,15;;;;;;
46415000;2;11/12/1991;01/01/1900 07:00:00;61;96;36,9;58,37;40,00;0,630;1,45;;;;;;
46415000;2;11/12/1991;01/01/1900 07:00:00;62;96;37,9;57,82;42,50;0,650;1,36;;;;;;
